group,team,team_color,flag_logo
A,Germany,#B0A55F,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Germany.png
A,Scotland,#005EB8,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Scotland.png
A,Hungary,#477050,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Hungary.png
A,Switzerland,#FF0000,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Switzerland.png
B,Spain,#8B0D11,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Spain.png
B,Croatia,#0457A2,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Croatia.png
B,Italy,#008C45,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Italy.png
B,Albania,#000000,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Albania.png
C,Slovenia,#003DA5,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Slovenia.png
C,Denmark,#CD181E,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Denmark.png
C,Serbia,#B72E3E,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Serbia.png
C,England,#2B57AC,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/England.png
D,Poland,#DC143C,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Poland.png
D,Netherlands,#F36C21,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Netherlands.png
D,Austria,#EF3340,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Austria.png
D,France,#21304D,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/France.png
E,Belgium,#000000,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Belgium.png
E,Slovakia,#0B4EA2,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Slovakia.png
E,Romania,#FCD116,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Romania.png
E,Ukraine,#FFDD00,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Ukraine.png
F,Turkey,#C8102E,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Turkey.png
F,Greece,#001489,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Greece.png
F,Portugal,#0D6938,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Portugal.png
F,Czech Republic,#11457E,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Czech Republic.png
,Argentina,,https://raw.githubusercontent.com/steodose/BlogPosts/master/World%20Cup%202022/flags/Argentina.png
,Brazil,,https://raw.githubusercontent.com/steodose/BlogPosts/master/World%20Cup%202022/flags/Brazil.png
,Mexico,,https://raw.githubusercontent.com/steodose/BlogPosts/master/World%20Cup%202022/flags/Mexico.png
,Colombia,,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Colombia.png
,Panama,,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Panama.png
,Venezuela,,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Venezuela.png
,Chile,,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Chile.png
,Paraguay,,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Paraguay.png
,Bolivia,,https://raw.githubusercontent.com/steodose/Euros-2024/master/flags/Bolivia.png
,Canada,,https://raw.githubusercontent.com/steodose/BlogPosts/master/World%20Cup%202022/flags/Canada.png
